TID.string(),TSource.string(),TTestName.string(),TType.string(),TDescription.string(),TIssueName.string(),TIssueType.string(),TSeverity.int32(),TTesterSupport.string(),TPhase.string(),TSection.string(),TStep.string(),TIssueBackground.string(),TRemediationBackground.string(),TRef1.string(),TRef2.string(),TTRef.string(),TCweID.string(),TPCI.boolean(),TTop10.boolean(),TTop25.boolean(),TStdTest.boolean()
ASVS-V03.04.1,OWASP-ASVS,L1/L2/L3 Verify that cookie-based session tokens have the 'Secure' attribute set...,Session Management Verification Requirements,Verify that cookie-based session tokens have the 'Secure' attribute set. ([C6](h...,,,,Verify that cookie-based session tokens have the 'Secure' attribute set. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V3 Session Management Verification Requirements,V3.4 Cookie-based Session Management,109,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,614,,,,
ASVS-V03.04.2,OWASP-ASVS,L1/L2/L3 Verify that cookie-based session tokens have the 'HttpOnly' attribute s...,Session Management Verification Requirements,Verify that cookie-based session tokens have the 'HttpOnly' attribute set. ([C6]...,,,,Verify that cookie-based session tokens have the 'HttpOnly' attribute set. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V3 Session Management Verification Requirements,V3.4 Cookie-based Session Management,110,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,1004,,,,
ASVS-V03.04.3,OWASP-ASVS,L1/L2/L3 Verify that cookie-based session tokens utilize the 'SameSite' attribut...,Session Management Verification Requirements,Verify that cookie-based session tokens utilize the 'SameSite' attribute to limi...,,,,Verify that cookie-based session tokens utilize the 'SameSite' attribute to limit exposure to cross-site request forgery attacks. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V3 Session Management Verification Requirements,V3.4 Cookie-based Session Management,111,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,16,,,,
ASVS-V03.04.4,OWASP-ASVS,"L1/L2/L3 Verify that cookie-based session tokens use ""__Host-"" prefix (see refer...",Session Management Verification Requirements,"Verify that cookie-based session tokens use ""__Host-"" prefix (see references) to...",,,,"Verify that cookie-based session tokens use ""__Host-"" prefix (see references) to provide session cookie confidentiality.",V3 Session Management Verification Requirements,V3.4 Cookie-based Session Management,112,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,16,,,,
ASVS-V03.04.5,OWASP-ASVS,L1/L2/L3 Verify that if the application is published under a domain name with ot...,Session Management Verification Requirements,Verify that if the application is published under a domain name with other appli...,,,,"Verify that if the application is published under a domain name with other applications that set or use session cookies that might override or disclose the session cookies, set the path attribute in cookie-based session tokens using the most precise path possible. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V3 Session Management Verification Requirements,V3.4 Cookie-based Session Management,113,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,16,,,,
ASVS-V03.05.1,OWASP-ASVS,L2/L3 Verify the application allows users to revoke OAuth tokens that form trust...,Session Management Verification Requirements,Verify the application allows users to revoke OAuth tokens that form trust relat...,,,,Verify the application allows users to revoke OAuth tokens that form trust relationships with linked applications. ,V3 Session Management Verification Requirements,V3.5 Token-based Session Management,114,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,290,,,,
ASVS-V03.05.2,OWASP-ASVS,L2/L3 Verify the application uses session tokens rather than static API secrets ...,Session Management Verification Requirements,Verify the application uses session tokens rather than static API secrets and ke...,,,,"Verify the application uses session tokens rather than static API secrets and keys, except with legacy implementations.",V3 Session Management Verification Requirements,V3.5 Token-based Session Management,115,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,798,,,,
ASVS-V03.05.3,OWASP-ASVS,"L2/L3 Verify that stateless session tokens use digital signatures, encryption, a...",Session Management Verification Requirements,"Verify that stateless session tokens use digital signatures, encryption, and oth...",,,,"Verify that stateless session tokens use digital signatures, encryption, and other countermeasures to protect against tampering, enveloping, replay, null cipher, and key substitution attacks.",V3 Session Management Verification Requirements,V3.5 Token-based Session Management,116,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,345,,,,
ASVS-V03.06.1,OWASP-ASVS,L3 Verify that relying parties specify the maximum authentication time to Creden...,Session Management Verification Requirements,Verify that relying parties specify the maximum authentication time to Credentia...,,,,Verify that relying parties specify the maximum authentication time to Credential Service Providers (CSPs) and that CSPs re-authenticate the subscriber if they haven't used a session within that period.,V3 Session Management Verification Requirements,V3.6 Re-authentication from a Federation or Assertion,117,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,613,,,,
ASVS-V03.06.2,OWASP-ASVS,L3 Verify that Credential Service Providers (CSPs) inform Relying Parties (RPs) ...,Session Management Verification Requirements,Verify that Credential Service Providers (CSPs) inform Relying Parties (RPs) of ...,,,,"Verify that Credential Service Providers (CSPs) inform Relying Parties (RPs) of the last authentication event, to allow RPs to determine if they need to re-authenticate the user.",V3 Session Management Verification Requirements,V3.6 Re-authentication from a Federation or Assertion,118,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,613,,,,
ASVS-V03.07.1,OWASP-ASVS,"L1/L2/L3 Verify the application ensures a full, valid login session or requires ...",Session Management Verification Requirements,"Verify the application ensures a full, valid login session or requires re-authen...",,,,"Verify the application ensures a full, valid login session or requires re-authentication or secondary verification before allowing any sensitive transactions or account modifications.",V3 Session Management Verification Requirements,V3.7 Defenses Against Session Management Exploits,119,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,306,,,,
ASVS-V04.01.1,OWASP-ASVS,L1/L2/L3 Verify that the application enforces access control rules on a trusted ...,Access Control Verification Requirements,Verify that the application enforces access control rules on a trusted service l...,,,,"Verify that the application enforces access control rules on a trusted service layer, especially if client-side access control is present and could be bypassed.",V4 Access Control Verification Requirements,V4.1 General Access Control Design,120,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,602,,,,
ASVS-V04.01.2,OWASP-ASVS,L1/L2/L3 Verify that all user and data attributes and policy information used by...,Access Control Verification Requirements,Verify that all user and data attributes and policy information used by access c...,,,,Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.,V4 Access Control Verification Requirements,V4.1 General Access Control Design,121,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,639,,,,
ASVS-V04.01.3,OWASP-ASVS,L1/L2/L3 Verify that the principle of least privilege exists - users should only...,Access Control Verification Requirements,Verify that the principle of least privilege exists - users should only be able ...,,,,"Verify that the principle of least privilege exists - users should only be able to access functions, data files, URLs, controllers, services, and other resources, for which they possess specific authorization. This implies protection against spoofing and elevation of privilege. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering))",V4 Access Control Verification Requirements,V4.1 General Access Control Design,122,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,285,,,,
ASVS-V04.01.4,OWASP-ASVS,L1/L2/L3 Verify that the principle of deny by default exists whereby new users/r...,Access Control Verification Requirements,Verify that the principle of deny by default exists whereby new users/roles star...,,,,Verify that the principle of deny by default exists whereby new users/roles start with minimal or no permissions and users/roles do not receive access to new features until access is explicitly assigned.  ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),V4 Access Control Verification Requirements,V4.1 General Access Control Design,123,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,276,,,,
ASVS-V04.01.5,OWASP-ASVS,L1/L2/L3 Verify that access controls fail securely including when an exception o...,Access Control Verification Requirements,Verify that access controls fail securely including when an exception occurs. ([...,,,,Verify that access controls fail securely including when an exception occurs. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering)),V4 Access Control Verification Requirements,V4.1 General Access Control Design,124,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,285,,,,
ASVS-V04.02.1,OWASP-ASVS,L1/L2/L3 Verify that sensitive data and APIs are protected against Insecure Dire...,Access Control Verification Requirements,Verify that sensitive data and APIs are protected against Insecure Direct Object...,,,,"Verify that sensitive data and APIs are protected against Insecure Direct Object Reference (IDOR) attacks targeting creation, reading, updating and deletion of records, such as creating or updating someone else's record, viewing everyone's records, or deleting all records.",V4 Access Control Verification Requirements,V4.2 Operation Level Access Control,125,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,639,,,,
ASVS-V04.02.2,OWASP-ASVS,L1/L2/L3 Verify that the application or framework enforces a strong anti-CSRF me...,Access Control Verification Requirements,Verify that the application or framework enforces a strong anti-CSRF mechanism t...,,,,"Verify that the application or framework enforces a strong anti-CSRF mechanism to protect authenticated functionality, and effective anti-automation or anti-CSRF protects unauthenticated functionality.",V4 Access Control Verification Requirements,V4.2 Operation Level Access Control,126,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,352,,,,
ASVS-V04.03.1,OWASP-ASVS,L1/L2/L3 Verify administrative interfaces use appropriate multi-factor authentic...,Access Control Verification Requirements,Verify administrative interfaces use appropriate multi-factor authentication to ...,,,,Verify administrative interfaces use appropriate multi-factor authentication to prevent unauthorized use.,V4 Access Control Verification Requirements,V4.3 Other Access Control Considerations,127,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,419,,,,
ASVS-V04.03.2,OWASP-ASVS,L1/L2/L3 Verify that directory browsing is disabled unless deliberately desired....,Access Control Verification Requirements,Verify that directory browsing is disabled unless deliberately desired. Addition...,,,,"Verify that directory browsing is disabled unless deliberately desired. Additionally, applications should not allow discovery or disclosure of file or directory metadata, such as Thumbs.db, .DS_Store, .git or .svn folders.",V4 Access Control Verification Requirements,V4.3 Other Access Control Considerations,128,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,548,,,,
ASVS-V04.03.3,OWASP-ASVS,L2/L3 Verify the application has additional authorization (such as step up or ad...,Access Control Verification Requirements,Verify the application has additional authorization (such as step up or adaptive...,,,,"Verify the application has additional authorization (such as step up or adaptive authentication) for lower value systems, and / or segregation of duties for high value applications to enforce anti-fraud controls as per the risk of application and past fraud.",V4 Access Control Verification Requirements,V4.3 Other Access Control Considerations,129,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V4-Access-Control.md,732,,,,
ASVS-V05.01.1,OWASP-ASVS,L1/L2/L3 Verify that the application has defenses against HTTP parameter polluti...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application has defenses against HTTP parameter pollution attack...,,,,"Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (GET, POST, cookies, headers, or environment variables).","V5 Validation, Sanitization and Encoding Verification Requirements",V5.1 Input Validation Requirements,130,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,235,,,,
ASVS-V05.01.2,OWASP-ASVS,L1/L2/L3 Verify that frameworks protect against mass parameter assignment attack...,"Validation, Sanitization and Encoding Verification Requirements","Verify that frameworks protect against mass parameter assignment attacks, or tha...",,,,"Verify that frameworks protect against mass parameter assignment attacks, or that the application has countermeasures to protect against unsafe parameter assignment, such as marking fields private or similar. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.1 Input Validation Requirements,131,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,915,,,,
ASVS-V05.01.3,OWASP-ASVS,"L1/L2/L3 Verify that all input (HTML form fields, REST requests, URL parameters,...","Validation, Sanitization and Encoding Verification Requirements","Verify that all input (HTML form fields, REST requests, URL parameters, HTTP hea...",,,,"Verify that all input (HTML form fields, REST requests, URL parameters, HTTP headers, cookies, batch files, RSS feeds, etc) is validated using positive validation (allow lists). ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.1 Input Validation Requirements,132,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,20,,,,
ASVS-V05.01.4,OWASP-ASVS,L1/L2/L3 Verify that structured data is strongly typed and validated against a d...,"Validation, Sanitization and Encoding Verification Requirements",Verify that structured data is strongly typed and validated against a defined sc...,,,,"Verify that structured data is strongly typed and validated against a defined schema including allowed characters, length and pattern (e.g. credit card numbers or telephone, or validating that two related fields are reasonable, such as checking that suburb and zip/postcode match). ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.1 Input Validation Requirements,133,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,20,,,,
ASVS-V05.01.5,OWASP-ASVS,L1/L2/L3 Verify that URL redirects and forwards only allow destinations which ap...,"Validation, Sanitization and Encoding Verification Requirements",Verify that URL redirects and forwards only allow destinations which appear on a...,,,,"Verify that URL redirects and forwards only allow destinations which appear on an allow list, or show a warning when redirecting to potentially untrusted content.","V5 Validation, Sanitization and Encoding Verification Requirements",V5.1 Input Validation Requirements,134,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,601,,,,
ASVS-V05.02.1,OWASP-ASVS,L1/L2/L3 Verify that all untrusted HTML input from WYSIWYG editors or similar is...,"Validation, Sanitization and Encoding Verification Requirements",Verify that all untrusted HTML input from WYSIWYG editors or similar is properly...,,,,Verify that all untrusted HTML input from WYSIWYG editors or similar is properly sanitized with an HTML sanitizer library or framework feature. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,135,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,116,,,,
ASVS-V05.02.2,OWASP-ASVS,L1/L2/L3 Verify that unstructured data is sanitized to enforce safety measures s...,"Validation, Sanitization and Encoding Verification Requirements",Verify that unstructured data is sanitized to enforce safety measures such as al...,,,,Verify that unstructured data is sanitized to enforce safety measures such as allowed characters and length.,"V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,136,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,138,,,,
ASVS-V05.02.3,OWASP-ASVS,L1/L2/L3 Verify that the application sanitizes user input before passing to mail...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application sanitizes user input before passing to mail systems ...,,,,Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.,"V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,137,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,147,,,,
ASVS-V05.02.4,OWASP-ASVS,L1/L2/L3 Verify that the application avoids the use of eval() or other dynamic c...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application avoids the use of eval() or other dynamic code execu...,,,,"Verify that the application avoids the use of eval() or other dynamic code execution features. Where there is no alternative, any user input being included must be sanitized or sandboxed before being executed.","V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,138,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,95,,,,
ASVS-V05.02.5,OWASP-ASVS,L1/L2/L3 Verify that the application protects against template injection attacks...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application protects against template injection attacks by ensur...,,,,Verify that the application protects against template injection attacks by ensuring that any user input being included is sanitized or sandboxed.,"V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,139,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,94,,,,
ASVS-V05.02.6,OWASP-ASVS,"L1/L2/L3 Verify that the application protects against SSRF attacks, by validatin...","Validation, Sanitization and Encoding Verification Requirements","Verify that the application protects against SSRF attacks, by validating or sani...",,,,"Verify that the application protects against SSRF attacks, by validating or sanitizing untrusted data or HTTP file metadata, such as filenames and URL input fields, and uses allow lists of protocols, domains, paths and ports.","V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,140,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,918,,,,
ASVS-V05.02.7,OWASP-ASVS,"L1/L2/L3 Verify that the application sanitizes, disables, or sandboxes user-supp...","Validation, Sanitization and Encoding Verification Requirements","Verify that the application sanitizes, disables, or sandboxes user-supplied Scal...",,,,"Verify that the application sanitizes, disables, or sandboxes user-supplied Scalable Vector Graphics (SVG) scriptable content, especially as they relate to XSS resulting from inline scripts, and foreignObject.","V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,141,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,159,,,,
ASVS-V05.02.8,OWASP-ASVS,"L1/L2/L3 Verify that the application sanitizes, disables, or sandboxes user-supp...","Validation, Sanitization and Encoding Verification Requirements","Verify that the application sanitizes, disables, or sandboxes user-supplied scri...",,,,"Verify that the application sanitizes, disables, or sandboxes user-supplied scriptable or expression template language content, such as Markdown, CSS or XSL stylesheets, BBCode, or similar.","V5 Validation, Sanitization and Encoding Verification Requirements",V5.2 Sanitization and Sandboxing Requirements,142,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,94,,,,
ASVS-V05.03.01,OWASP-ASVS,L1/L2/L3 Verify that output encoding is relevant for the interpreter and context...,"Validation, Sanitization and Encoding Verification Requirements",Verify that output encoding is relevant for the interpreter and context required...,,,,"Verify that output encoding is relevant for the interpreter and context required. For example, use encoders specifically for HTML values, HTML attributes, JavaScript, URL parameters, HTTP headers, SMTP, and others as the context requires, especially from untrusted inputs (e.g. names with Unicode or apostrophes, such as ねこ or O'Hara). ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,143,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,116,,,,
ASVS-V05.03.02,OWASP-ASVS,L1/L2/L3 Verify that output encoding preserves the user's chosen character set a...,"Validation, Sanitization and Encoding Verification Requirements",Verify that output encoding preserves the user's chosen character set and locale...,,,,"Verify that output encoding preserves the user's chosen character set and locale, such that any Unicode character point is valid and safely handled. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,144,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,176,,,,
ASVS-V05.03.03,OWASP-ASVS,"L1/L2/L3 Verify that context-aware, preferably automated - or at worst, manual -...","Validation, Sanitization and Encoding Verification Requirements","Verify that context-aware, preferably automated - or at worst, manual - output e...",,,,"Verify that context-aware, preferably automated - or at worst, manual - output escaping protects against reflected, stored, and DOM based XSS. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,145,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,79,,,,
ASVS-V05.03.04,OWASP-ASVS,"L1/L2/L3 Verify that data selection or database queries (e.g. SQL, HQL, ORM, NoS...","Validation, Sanitization and Encoding Verification Requirements","Verify that data selection or database queries (e.g. SQL, HQL, ORM, NoSQL) use p...",,,,"Verify that data selection or database queries (e.g. SQL, HQL, ORM, NoSQL) use parameterized queries, ORMs, entity frameworks, or are otherwise protected from database injection attacks. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,146,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,89,,,,
ASVS-V05.03.05,OWASP-ASVS,"L1/L2/L3 Verify that where parameterized or safer mechanisms are not present, co...","Validation, Sanitization and Encoding Verification Requirements","Verify that where parameterized or safer mechanisms are not present, context-spe...",,,,"Verify that where parameterized or safer mechanisms are not present, context-specific output encoding is used to protect against injection attacks, such as the use of SQL escaping to protect against SQL injection. ([C3, C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,147,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,89,,,,
ASVS-V05.03.06,OWASP-ASVS,L1/L2/L3 Verify that the application protects against JavaScript or JSON injecti...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application protects against JavaScript or JSON injection attack...,,,,"Verify that the application protects against JavaScript or JSON injection attacks, including for eval attacks, remote JavaScript includes, Content Security Policy (CSP) bypasses, DOM XSS, and JavaScript expression evaluation. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,148,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,830,,,,
ASVS-V05.03.07,OWASP-ASVS,L1/L2/L3 Verify that the application protects against LDAP injection vulnerabili...,"Validation, Sanitization and Encoding Verification Requirements","Verify that the application protects against LDAP injection vulnerabilities, or ...",,,,"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,149,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,90,,,,
ASVS-V05.03.08,OWASP-ASVS,L1/L2/L3 Verify that the application protects against OS command injection and t...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application protects against OS command injection and that opera...,,,,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,150,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,78,,,,
ASVS-V05.03.09,OWASP-ASVS,L1/L2/L3 Verify that the application protects against Local File Inclusion (LFI)...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application protects against Local File Inclusion (LFI) or Remot...,,,,Verify that the application protects against Local File Inclusion (LFI) or Remote File Inclusion (RFI) attacks.,"V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,151,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,829,,,,
ASVS-V05.03.10,OWASP-ASVS,L1/L2/L3 Verify that the application protects against XPath injection or XML inj...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application protects against XPath injection or XML injection at...,,,,Verify that the application protects against XPath injection or XML injection attacks. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V5 Validation, Sanitization and Encoding Verification Requirements",V5.3 Output Encoding and Injection Prevention Requirements,152,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,643,,,,
ASVS-V05.04.1,OWASP-ASVS,"L2/L3 Verify that the application uses memory-safe string, safer memory copy and...","Validation, Sanitization and Encoding Verification Requirements","Verify that the application uses memory-safe string, safer memory copy and point...",,,,"Verify that the application uses memory-safe string, safer memory copy and pointer arithmetic to detect or prevent stack, buffer, or heap overflows.","V5 Validation, Sanitization and Encoding Verification Requirements","V5.4 Memory, String, and Unmanaged Code Requirements",153,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,120,,,,
ASVS-V05.04.2,OWASP-ASVS,"L2/L3 Verify that format strings do not take potentially hostile input, and are ...","Validation, Sanitization and Encoding Verification Requirements","Verify that format strings do not take potentially hostile input, and are consta...",,,,"Verify that format strings do not take potentially hostile input, and are constant.","V5 Validation, Sanitization and Encoding Verification Requirements","V5.4 Memory, String, and Unmanaged Code Requirements",154,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,134,,,,
ASVS-V05.04.3,OWASP-ASVS,"L2/L3 Verify that sign, range, and input validation techniques are used to preve...","Validation, Sanitization and Encoding Verification Requirements","Verify that sign, range, and input validation techniques are used to prevent int...",,,,"Verify that sign, range, and input validation techniques are used to prevent integer overflows.","V5 Validation, Sanitization and Encoding Verification Requirements","V5.4 Memory, String, and Unmanaged Code Requirements",155,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,190,,,,
ASVS-V05.05.1,OWASP-ASVS,L1/L2/L3 Verify that serialized objects use integrity checks or are encrypted to...,"Validation, Sanitization and Encoding Verification Requirements",Verify that serialized objects use integrity checks or are encrypted to prevent ...,,,,Verify that serialized objects use integrity checks or are encrypted to prevent hostile object creation or data tampering. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V5 Validation, Sanitization and Encoding Verification Requirements",V5.5 Deserialization Prevention Requirements,156,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,502,,,,TRUE
ASVS-V05.05.2,OWASP-ASVS,L1/L2/L3 Verify that the application correctly restricts XML parsers to only use...,"Validation, Sanitization and Encoding Verification Requirements",Verify that the application correctly restricts XML parsers to only use the most...,,,,Verify that the application correctly restricts XML parsers to only use the most restrictive configuration possible and to ensure that unsafe features such as resolving external entities are disabled to prevent XML eXternal Entity (XXE) attacks. ,"V5 Validation, Sanitization and Encoding Verification Requirements",V5.5 Deserialization Prevention Requirements,157,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,611,,,,TRUE
ASVS-V05.05.3,OWASP-ASVS,L1/L2/L3 Verify that deserialization of untrusted data is avoided or is protecte...,"Validation, Sanitization and Encoding Verification Requirements",Verify that deserialization of untrusted data is avoided or is protected in both...,,,,"Verify that deserialization of untrusted data is avoided or is protected in both custom code and third-party libraries (such as JSON, XML and YAML parsers). ","V5 Validation, Sanitization and Encoding Verification Requirements",V5.5 Deserialization Prevention Requirements,158,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,502,,,,TRUE
